,uf_sigla,cod_regsaud,regiao_saude,ano,mes,quantidade,ano_mes
289,GO,52004,Entorno Sul,2021,02,1012,2021-02
290,GO,52017,Sul,2021,02,246,2021-02
291,GO,52011,Pirineus,2021,02,612,2021-02
292,GO,52003,Entorno Norte,2021,02,261,2021-02
293,GO,52007,Nordeste II,2021,02,114,2021-02
294,GO,52009,Oeste I,2021,02,102,2021-02
295,GO,52016,Sudoeste II,2021,02,275,2021-02
296,GO,52002,Centro Sul,2021,02,1003,2021-02
297,GO,52001,Central,2021,02,1918,2021-02
298,GO,52008,Norte,2021,02,134,2021-02
299,GO,52005,Estrada de Ferro,2021,02,295,2021-02
300,GO,52010,Oeste II,2021,02,101,2021-02
301,GO,52013,São Patrício I,2021,02,164,2021-02
302,GO,52014,Serra da Mesa,2021,02,118,2021-02
303,GO,52018,São Patrício II,2021,02,181,2021-02
304,GO,52015,Sudoeste I,2021,02,489,2021-02
305,GO,52009,Oeste I,2021,01,101,2021-01
306,GO,52015,Sudoeste I,2021,01,495,2021-01
307,GO,52002,Centro Sul,2021,01,1034,2021-01
308,GO,52018,São Patrício II,2021,01,176,2021-01
309,GO,52008,Norte,2021,01,170,2021-01
310,GO,52005,Estrada de Ferro,2021,01,325,2021-01
311,GO,52011,Pirineus,2021,01,598,2021-01
312,GO,52007,Nordeste II,2021,01,116,2021-01
313,GO,52003,Entorno Norte,2021,01,314,2021-01
314,GO,52004,Entorno Sul,2021,01,1073,2021-01
315,GO,52010,Oeste II,2021,01,137,2021-01
316,GO,52017,Sul,2021,01,274,2021-01
317,GO,52014,Serra da Mesa,2021,01,119,2021-01
318,GO,52001,Central,2021,01,1943,2021-01
319,GO,52012,Rio Vermelho,2021,01,209,2021-01
320,GO,52013,São Patrício I,2021,01,140,2021-01
321,GO,52016,Sudoeste II,2021,01,271,2021-01
322,GO,52006,Nordeste I,2021,01,47,2021-01
323,GO,52009,Oeste I,2020,12,89,2020-12
324,GO,52003,Entorno Norte,2020,12,316,2020-12
325,GO,52017,Sul,2020,12,267,2020-12
326,GO,52018,São Patrício II,2020,12,162,2020-12
327,GO,52001,Central,2020,12,2054,2020-12
328,GO,52016,Sudoeste II,2020,12,291,2020-12
329,GO,52005,Estrada de Ferro,2020,12,301,2020-12
330,GO,52012,Rio Vermelho,2020,12,219,2020-12
331,GO,52002,Centro Sul,2020,12,1032,2020-12
332,GO,52013,São Patrício I,2020,12,144,2020-12
333,GO,52007,Nordeste II,2020,12,112,2020-12
334,GO,52006,Nordeste I,2020,12,56,2020-12
335,GO,52004,Entorno Sul,2020,12,1041,2020-12
336,GO,52010,Oeste II,2020,12,106,2020-12
337,GO,52011,Pirineus,2020,12,564,2020-12
338,GO,52008,Norte,2020,12,140,2020-12
339,GO,52014,Serra da Mesa,2020,12,112,2020-12
340,GO,52015,Sudoeste I,2020,12,465,2020-12
341,GO,52005,Estrada de Ferro,2020,11,282,2020-11
342,GO,52011,Pirineus,2020,11,566,2020-11
343,GO,52013,São Patrício I,2020,11,159,2020-11
344,GO,52009,Oeste I,2020,11,106,2020-11
345,GO,52018,São Patrício II,2020,11,189,2020-11
346,GO,52014,Serra da Mesa,2020,11,98,2020-11
347,GO,52012,Rio Vermelho,2020,11,190,2020-11
348,GO,52008,Norte,2020,11,132,2020-11
349,GO,52002,Centro Sul,2020,11,960,2020-11
350,GO,52017,Sul,2020,11,230,2020-11
351,GO,52006,Nordeste I,2020,11,50,2020-11
352,GO,52010,Oeste II,2020,11,114,2020-11
353,GO,52004,Entorno Sul,2020,11,991,2020-11
354,GO,52003,Entorno Norte,2020,11,267,2020-11
355,GO,52016,Sudoeste II,2020,11,261,2020-11
356,GO,52007,Nordeste II,2020,11,111,2020-11
357,GO,52015,Sudoeste I,2020,11,468,2020-11
358,GO,52001,Central,2020,11,1888,2020-11
359,GO,52012,Rio Vermelho,2020,10,186,2020-10
360,GO,52011,Pirineus,2020,10,608,2020-10
361,GO,52001,Central,2020,10,1923,2020-10
362,GO,52014,Serra da Mesa,2020,10,115,2020-10
363,GO,52013,São Patrício I,2020,10,157,2020-10
364,GO,52016,Sudoeste II,2020,10,268,2020-10
365,GO,52005,Estrada de Ferro,2020,10,338,2020-10
366,GO,52002,Centro Sul,2020,10,995,2020-10
367,GO,52015,Sudoeste I,2020,10,484,2020-10
368,GO,52018,São Patrício II,2020,10,192,2020-10
