"","uf","ibge","municipio","total_equipe","total_pop","medicos","enfermeiros","tecnicos","acs"
"216","BA","291830","JITAÚNA",5.02721428571429,12977,5.02721428571429,5.02721428571429,10.0544285714286,17.3026666666667
"217","BA","291835","JOÃO DOURADO",10.0954,23830,10.0954,10.0954,20.1908,31.7733333333333
"218","BA","291840","JUAZEIRO",81.5487857142857,204183,81.5487857142857,81.5487857142857,163.097571428571,272.244
"219","BA","291845","JUCURUÇU",4.08507142857143,9442,4.08507142857143,4.08507142857143,8.17014285714286,12.5893333333333
"220","BA","291850","JUSSARA",6.16774285714286,16445,6.16774285714286,6.16774285714286,12.3354857142857,21.9266666666667
"221","BA","291855","JUSSARI",2.05575714285714,5527,2.05575714285714,2.05575714285714,4.11151428571429,7.36933333333333
"222","BA","291860","JUSSIAPE",3.19035714285714,8132,3.19035714285714,3.19035714285714,6.38071428571429,10.8426666666667
"223","BA","291870","LAFAIETE COUTINHO",1.76578571428571,4474,1.76578571428571,1.76578571428571,3.53157142857143,5.96533333333333
"224","BA","291875","LAGOA REAL",4.99354285714286,12792,4.99354285714286,4.99354285714286,9.98708571428572,17.056
"225","BA","291880","LAJE",8.36234285714286,21531,8.36234285714286,8.36234285714286,16.7246857142857,28.708
"226","BA","291890","LAJEDÃO",1.63942857142857,4259,1.63942857142857,1.63942857142857,3.27885714285714,5.67866666666667
"227","BA","291900","LAJEDINHO",1.17171428571429,4101,1.17171428571429,1.17171428571429,2.34342857142857,5.468
"228","BA","291905","LAJEDO DO TABOCAL",3.47195714285714,8125,3.47195714285714,3.47195714285714,6.94391428571429,10.8333333333333
"229","BA","291910","LAMARÃO",3.32678571428571,8375,3.32678571428571,3.32678571428571,6.65357142857143,11.1666666666667
"230","BA","291915","LAPÃO",11.7706142857143,29856,11.7706142857143,11.7706142857143,23.5412285714286,39.808
"231","BA","291920","LAURO DE FREITAS",51.0171285714286,127840,51.0171285714286,51.0171285714286,102.034257142857,170.453333333333
"232","BA","291930","LENÇÓIS",4.09344285714286,10111,4.09344285714286,4.09344285714286,8.18688571428572,13.4813333333333
"233","BA","291940","LICÍNIO DE ALMEIDA",5.09335714285714,13364,5.09335714285714,5.09335714285714,10.1867142857143,17.8186666666667
"234","BA","291950","LIVRAMENTO DE NOSSA SENHORA",17.6272285714286,46601,17.6272285714286,17.6272285714286,35.2544571428571,62.1346666666667
"235","BA","291955","LUÍS EDUARDO MAGALHÃES",31.0644714285714,80807,31.0644714285714,31.0644714285714,62.1289428571429,107.742666666667
"236","BA","291960","MACAJUBA",3.84437142857143,11123,3.84437142857143,3.84437142857143,7.68874285714286,14.8306666666667
"237","BA","291970","MACARANI",5.95812857142857,15908,5.95812857142857,5.95812857142857,11.9162571428571,21.2106666666667
"238","BA","291980","MACAÚBAS",14.5773,39511,14.5773,14.5773,29.1546,52.6813333333333
"239","BA","291990","MACURURÉ",2.93545714285714,7481,2.93545714285714,2.93545714285714,5.87091428571429,9.97466666666667
"240","BA","291992","MADRE DE DEUS",8.02177142857143,20317,8.02177142857143,8.02177142857143,16.0435428571429,27.0893333333333
"241","BA","291995","MAETINGA",2.9583,8123,2.9583,2.9583,5.9166,10.8306666666667
"242","BA","292000","MAIQUINIQUE",2.4291,6637,2.4291,2.4291,4.8582,8.84933333333333
"243","BA","292010","MAIRI",7.0523,17983,7.0523,7.0523,14.1046,23.9773333333333
"244","BA","292020","MALHADA",6.27468571428571,15817,6.27468571428571,6.27468571428571,12.5493714285714,21.0893333333333
"245","BA","292030","MALHADA DE PEDRAS",3.43717142857143,8712,3.43717142857143,3.43717142857143,6.87434285714286,11.616
"246","BA","292040","MANOEL VITORINO",6.34891428571429,15564,6.34891428571429,6.34891428571429,12.6978285714286,20.752
"247","BA","292045","MANSIDÃO",3.59867142857143,9512,3.59867142857143,3.59867142857143,7.19734285714286,12.6826666666667
